Pure,Equlibration pH,Elution Conductivity,Sample Volume,serotype,from,resin,Elution pH,Wash pH,Elution Conductivity,Wash Conductivity,Sample Flowrate Elution (CV/h),System Flowrate Elution (CV/h)
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,1.525685476216816,8.629182008146012,27.40331871745729,30.171774554172146,4.440091642376036,6.759677343006013
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,1.9053128690837058,8.18475325214196,43.868107771561085,32.880222869415704,7.671394658248362,6.667572953043029
0.0,7.0,2.5,15.0,AAV2,ELU,AAVA3,9.732049440140226,8.383712803253683,32.06257453031075,43.15664013169703,1.8854960692379181,8.907006093321712
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,8.77546627423751,7.807572117900959,19.684923705715196,26.899066744631654,13.176290835958703,6.496750054056333
0.0,7.0,2.5,10.0,AAV2,ELU,AAVA3,1.6726158619087612,7.318489197113722,39.10957677602494,38.933226064987856,8.893753576709646,5.22153898815929
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,2.057006580660159,8.312535227061895,31.616576267873945,40.1671999810672,5.44880502122433,5.3338583201218075
0.0,7.0,2.5,25.0,AAV2,ELU,AAVA3,10.002117412199526,6.114267919110961,48.421048147738404,40.68146101183743,14.94954855898019,5.658359066169284
0.0,7.0,2.5,10.0,AAV2,ELU,AAVA3,5.413601961210876,8.772261584427769,48.21252517997017,45.02456683513193,1.0301995701120463,5.004270455245937
0.0,7.0,2.5,20.0,AAV2,ELU,AAVA3,11.572418334761485,7.649535095148842,46.20733376909911,26.119303008025664,13.941484830680494,6.324242954622161
0.0,7.0,2.5,15.0,AAV2,ELU,AAVA3,7.265684177159462,8.974093908347731,42.30076141337226,31.959972414214377,12.43280576984072,7.259470458890417
0.0,7.0,2.5,25.0,AAV2,ELU,AAVA3,1.0,5.0,19.945752001693567,50.0,15.0,5.0
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,1.0,7.547338094945994,38.32234844237112,22.910900696545607,1.9709679033820162,6.364609625148441
0.0,7.0,2.5,30.0,AAV2,ELU,AAVA3,1.0,6.443019678507111,36.5268385260458,45.23135639899014,1.0752712628583891,6.3863511170444776
0.0,7.0,2.5,5.0,AAV2,ELU,AAVA3,1.0,6.141517438483357,20.438714099483953,30.45823322199543,15.0,5.093467255106262
