Scenario,Monte_Carlo_Run,Iteration,Num_Experiments,Total Capsids_Measurements,Total Capsids_IterBest,Total Capsids_CumBest
Random,3,3,40,"[39.06302454268816, 37.164169893877386, 32.02972580726016, 36.87805214531244, 39.15133577589732, 32.741056799500576, 31.64728126352909, 39.483889457772406, 34.97926484535714, 31.636971769266736]",39.483889457772406,41.62939902799461
Random,3,4,50,"[39.13048686207362, 34.158837135374746, 34.66013089129507, 36.78915600337571, 37.91174625226833, 39.8435237897511, 34.935471013978535, 36.212702898622204, 31.4500474292021, 40.299720442362954]",40.299720442362954,41.62939902799461
Random,4,0,10,"[40.828193742535696, 36.501782820395626, 33.992058570779726, 40.405297804173905, 33.01972485869761, 38.518748765604336, 33.390126251623165, 39.84211171110522, 32.955251973236365, 33.65315725197539]",40.828193742535696,40.828193742535696
Random,4,1,20,"[36.950162849287224, 40.57601679954462, 36.52396550534523, 40.036421953526826, 39.80724483131054, 33.66664393706755, 26.81544879556338, 39.63199517528043, 34.25864180220724, 42.28833393308808]",42.28833393308808,42.28833393308808
Random,4,2,30,"[35.82954270028051, 34.877166377103904, 29.987442238577227, 36.43549478895254, 36.23528967336452, 30.733140132918294, 35.11515732210759, 34.78010461641981, 31.998777352149705, 35.12146985016945]",36.43549478895254,42.28833393308808
Random,4,3,40,"[31.671502956996054, 28.891660758564928, 28.543794016191736, 32.9165547330322, 32.227479014883286, 28.485285243508535, 38.65333363849742, 39.06576224806246, 36.81418925087842, 35.03495056666037]",39.06576224806246,42.28833393308808
Random,4,4,50,"[33.54165919601695, 29.835580793366642, 33.12491292236199, 30.12397145859653, 32.69043543640386, 40.35185359516493, 38.76582966225251, 35.747729019717234, 36.81714739044615, 32.5017098458666]",40.35185359516493,42.28833393308808
Sequential greedy logEI,0,0,10,"[34.903023708583554, 42.49709447054875, 34.26578553956321, 38.00601728069835, 28.769410555098503, 40.10387563937288, 39.482606124999236, 36.90671636002948, 42.26526109873157, 31.806778457328207]",42.49709447054875,42.49709447054875
Sequential greedy logEI,0,1,20,"[45.43285343983169, 40.25648734482392, 43.88209666309381, 44.017414908831356, 43.30268898409653, 44.22675529776541, 42.90165689356676, 39.785792362814306, 42.21495695568573, 39.17252649142201]",45.43285343983169,45.43285343983169
Sequential greedy logEI,0,2,30,"[45.717887139384466, 43.428074815297954, 44.60589352513349, 44.52331153204966, 41.08583728384729, 44.231538641429395, 43.436815143460684, 40.23402594209021, 43.22782502217042, 43.37391821955155]",45.717887139384466,45.717887139384466
Sequential greedy logEI,0,3,40,"[45.717887139384466, 36.271073300079614, 42.4984298864883, 39.661540407719414, 43.913014719196894, 34.8701846354179, 42.25414712057703, 40.38790934717118, 40.051165802453944, 38.41472785190128]",45.717887139384466,45.717887139384466
Sequential greedy logEI,0,4,50,"[45.717887139384466, 36.30591136215924, 37.71147110714944, 39.41855781465211, 37.23476908917064, 41.210582722445245, 38.887140018710745, 40.0409415280038, 38.10485896793831, 42.675028672124455]",45.717887139384466,45.717887139384466
Sequential greedy logEI,1,0,10,"[31.078144685912722, 31.268114504396344, 39.153569236480394, 37.04118271241061, 34.759076692723696, 42.86364392071113, 39.578629118809445, 36.2099910291352, 27.199876718249488, 31.443639749073903]",42.86364392071113,42.86364392071113
Sequential greedy logEI,1,1,20,"[45.32272549434382, 43.76316815799925, 44.595279334487074, 41.924576420826995, 42.73938537890444, 44.50627657815036, 43.723662575484724, 43.53613301797214, 38.474766214916656, 43.08019235510249]",45.32272549434382,45.32272549434382
Sequential greedy logEI,1,2,30,"[45.717887139384466, 33.07469456279779, 37.916350819173346, 37.68180390885997, 41.47727117006471, 38.63496807516057, 36.44029473785395, 45.717887139384466, 43.92714107525394, 31.824364249685516]",45.717887139384466,45.717887139384466
Sequential greedy logEI,1,3,40,"[45.717887139384466, 44.30380651226531, 44.819218509352055, 32.367472811844415, 40.71285773244406, 42.388212789810005, 42.8366854176853, 43.578718324122896, 42.512441585869404, 43.4289940646249]",45.717887139384466,45.717887139384466
Sequential greedy logEI,1,4,50,"[45.717887139384466, 33.31067943204652, 37.078341804724836, 33.63112928314292, 42.52424733291826, 39.459190227049874, 26.98153138170743, 41.0174766063433, 37.74384000883191, 40.870946784316814]",45.717887139384466,45.717887139384466
Sequential greedy logEI,2,0,10,"[34.83638560575968, 28.282635790490453, 36.57018014026558, 34.286371021469854, 37.64929913616173, 38.26987986604782, 41.81263359786998, 40.71600144875093, 41.37517379569703, 36.696376730691355]",41.81263359786998,41.81263359786998
Sequential greedy logEI,2,1,20,"[41.75782826521862, 41.253710470480385, 41.827350042811, 41.50881720017008, 41.86997390181645, 41.10154358476245, 40.222867989597034, 42.162250485677184, 41.3244055651494, 42.315488549801294]",42.315488549801294,42.315488549801294
Sequential greedy logEI,2,2,30,"[45.717887139384466, 44.57825349930267, 45.03182134998447, 45.102523524272364, 44.138417328485154, 45.31685504965221, 44.912821087624174, 45.43285343983169, 40.95553949886809, 42.977728364842164]",45.717887139384466,45.717887139384466
Sequential greedy logEI,2,3,40,"[45.717887139384466, 35.37344891936334, 37.31599846575064, 42.58530929433608, 39.519069084061414, 29.721210371066313, 42.297131319371346, 43.94513717553567, 41.858305051711035, 37.35031282942741]",45.717887139384466,45.717887139384466
Sequential greedy logEI,2,4,50,"[45.717887139384466, 42.30656174192897, 36.97856450004306, 31.399478948946573, 44.37758546241376, 34.72762315606213, 29.38431251645939, 40.66904252435272, 32.22143832418888, 34.891797155291094]",45.717887139384466,45.717887139384466
Sequential greedy logEI,3,0,10,"[30.543131951066798, 30.707831865571293, 38.78506066255163, 42.198586550973296, 31.573803898933278, 38.56205303223078, 27.547532318917646, 38.66120988713878, 33.624145046569666, 38.91506702541731]",42.198586550973296,42.198586550973296
Sequential greedy logEI,3,1,20,"[45.717887139384466, 45.44548802930197, 41.84214117129808, 40.78532085058346, 42.20748130541365, 42.650498495151496, 42.81906200821408, 43.67239448135502, 44.05122549569165, 44.5196813631603]",45.717887139384466,45.717887139384466
Sequential greedy logEI,3,2,30,"[45.717887139384466, 41.14358862552224, 41.992594389723926, 43.993902726700654, 40.65258957289326, 41.180442897373744, 39.605206981633465, 43.19873266999634, 42.96269674972849, 36.87378242451666]",45.717887139384466,45.717887139384466
